quarter,level_1,level_2,value
2005-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,159533
2005-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3314
2005-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,16077
2005-Q4,All Types Private Residential Properties Available,Available Landed Properties,67946
2005-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,161410
2005-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3475
2005-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,15801
2006-Q1,All Types Private Residential Properties Available,Available Landed Properties,68084
2006-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,162112
2006-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3467
2006-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13619
2006-Q2,All Types Private Residential Properties Available,Available Landed Properties,68162
2006-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,162590
2006-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3196
2006-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11891
2006-Q3,All Types Private Residential Properties Available,Available Landed Properties,68416
2006-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,163997
2006-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3680
2006-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11737
2006-Q4,All Types Private Residential Properties Available,Available Landed Properties,68410
2006-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,164954
2006-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3410
2006-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10847
2007-Q1,All Types Private Residential Properties Available,Available Landed Properties,68402
2007-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,164793
2007-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2970
2007-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,8893
2007-Q2,All Types Private Residential Properties Available,Available Landed Properties,68360
2007-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,164783
2007-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2944
2007-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,8562
2007-Q3,All Types Private Residential Properties Available,Available Landed Properties,68393
2007-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,165576
2007-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3201
2007-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,9349
2007-Q4,All Types Private Residential Properties Available,Available Landed Properties,68460
2007-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,166352
2007-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3141
2007-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,9993
2008-Q1,All Types Private Residential Properties Available,Available Landed Properties,68493
2008-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,168410
2008-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2923
2008-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11939
2008-Q2,All Types Private Residential Properties Available,Available Landed Properties,68486
2008-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,169178
2008-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2791
2008-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11646
2008-Q3,All Types Private Residential Properties Available,Available Landed Properties,68553
2008-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,170300
2008-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2387
2008-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11552
